MLS,Address,Costco Address,Distance to Costco (km),Walmart Address,Distance to Walmart (km)
1407210,"102 HACKAMORE Crescent, Richmond","9650 W Broad St, Glen Allen",15.82,"5001 Nine Mile Rd, Richmond",6.35
1412872,"347 ROUNCEY Road, Stittsville","1849 Merivale Rd, Ottawa",14.36,"450 Terminal Ave., Ottawa",23.67
1412594,"3205 RIVER ROCK Avenue, Ottawa","1849 Merivale Rd, Ottawa",9.78,"450 Terminal Ave., Ottawa",19.37
1412081,"206 MISSION TRAIL Crescent, Ottawa","1849 Merivale Rd, Ottawa",17.17,"450 Terminal Ave., Ottawa",25.56
1406827,"3085 TRAVERTINE Way, Ottawa","1849 Merivale Rd, Ottawa",11.29,"450 Terminal Ave., Ottawa",20.96
1408634,"331 CROSSWAY Terrace, Ottawa","1849 Merivale Rd, Ottawa",17.76,"450 Terminal Ave., Ottawa",26.57
1398018,"11 AURA Avenue, Ottawa","1849 Merivale Rd, Ottawa",8.96,"450 Terminal Ave., Ottawa",18.94
1411942,"78 COLONEL MURRAY Street S, Richmond","1849 Merivale Rd, Ottawa",18.51,"450 Terminal Ave., Ottawa",28.59
1412610,"811 LOGPERCH Circle, Nepean","1849 Merivale Rd, Ottawa",9.32,"450 Terminal Ave., Ottawa",19.06
1410459,"369 RIVER LANDING Avenue, Ottawa","1849 Merivale Rd, Ottawa",9.27,"450 Terminal Ave., Ottawa",18.94
1399265,"664 CONTINENTAL Avenue, Ottawa","1849 Merivale Rd, Ottawa",14.48,"450 Terminal Ave., Ottawa",24.09
1412122,"2222 SUNSET COVE Circle, Ottawa","1849 Merivale Rd, Ottawa",9.65,"450 Terminal Ave., Ottawa",19.19
1411633,"28 SEABERT Drive, Arnprior","1849 Merivale Rd, Ottawa",48.94,"5357 Fernbank Rd, Kanata",40.04
1407528,"153 MAC BEATTIE Drive, Arnprior","1849 Merivale Rd, Ottawa",50.66,"5357 Fernbank Rd, Kanata",41.48
1399083,"129 SEABERT Drive, Arnprior","1849 Merivale Rd, Ottawa",48.81,"5357 Fernbank Rd, Kanata",39.93
1411859,"351 MEADOWBREEZE Drive, Ottawa","1849 Merivale Rd, Ottawa",11.69,"450 Terminal Ave., Ottawa",21.5
1411869,"191 EQUITATION Circle, Ottawa","1849 Merivale Rd, Ottawa",19.58,"450 Terminal Ave., Ottawa",29.7
1410722,"713 SAMANTHA EASTOP Avenue, Stittsville","1849 Merivale Rd, Ottawa",18.53,"450 Terminal Ave., Ottawa",27.6
1410137,"52 MOONBEAM Street, Ottawa","1849 Merivale Rd, Ottawa",8.78,"450 Terminal Ave., Ottawa",18.66
1409452,"197 EQUITATION Circle, Ottawa","1849 Merivale Rd, Ottawa",19.55,"450 Terminal Ave., Ottawa",29.68
1411084,"633 GERANIUM Walk, Stittsville","1849 Merivale Rd, Ottawa",18.19,"450 Terminal Ave., Ottawa",27.26
1400095,"177 YEARLING Circle, Ottawa","1849 Merivale Rd, Ottawa",19.84,"450 Terminal Ave., Ottawa",29.95
1409920,"16 LEO MOSKOS Street, Arnprior","770 Silver Seven Rd, Ottawa",38.75,"5357 Fernbank Rd, Kanata",42.89
1388311,"2010 POSTILION Street, Richmond","9650 W Broad St, Glen Allen",15.82,"5001 Nine Mile Rd, Richmond",6.35
